subscriber_number|subscriber_id|bureau|alert_type|AlertId|create_date|vendor|fraud
082522577767|4032966|TransUnion|Fraud Statement|4492667466|2018-01-01|Unknown|0
912953948575|4342316|TransUnion|Fraud Statement|4492544086|2018-01-01|Unknown|0
530162542767|3552915|TransUnion|Fraud Statement|4492501610|2018-01-01|Unknown|0
976416560386|4367721|TransUnion|Fraud Statement|4492423862|2018-01-01|Unknown|0
452020253631|4220071|TransUnion|Fraud Statement|4492106182|2018-01-01|Unknown|0
961224878883|4721205|Experian|Fraud Statement|4492986952|2018-01-01||0
544895935640|3884099|Experian|Fraud Statement|4492988136|2018-01-01||0
818748000616|2954407|TransUnion|Fraud Statement|4491999544|2018-01-01|Unknown|0
519890340489|3402390|TransUnion|Fraud Statement|4491201132|2018-01-01|Unknown|0
439292626058|2954406|TransUnion|Fraud Statement|4493740458|2018-01-01|Unknown|0
351660868702|4584427|TransUnion|Fraud Statement|4493614674|2018-01-01|Unknown|1
720188346964|4110959|TransUnion|Fraud Statement|4493383088|2018-01-01|Unknown|0
561249492916|3358127|TransUnion|Fraud Statement|4493241072|2018-01-01|Unknown|0
006956477055|3563607|TransUnion|Fraud Statement|4493886828|2018-01-01|Unknown|0
870335554675|3761800|TransUnion|Fraud  Alert||2018-01-01|Unknown|0
387733281752|3924168|Experian|Fraud Statement|4494585108|2018-01-02||0
390450251586|4590906|Experian|Fraud Statement|4494581768|2018-01-02||0
0125157865316|4388004|Experian|Fraud Statement|4494602130|2018-01-02||0
757786492874|3711834|TransUnion|Fraud Statement|4495618124|2018-01-02|Unknown|0
544895935640|3884099|TransUnion|Fraud Statement|4495476348|2018-01-02|Unknown|0
600679742859|3513632|TransUnion|Fraud Statement|4495422276|2018-01-02|Unknown|0
348453483131|3563303|TransUnion|Fraud Statement|4495173006|2018-01-02|Unknown|0
363060273763|4032689|TransUnion|Fraud Statement|4495148834|2018-01-02|Unknown|0
075591140970|4995506|TransUnion|Fraud Statement|4495088104|2018-01-02|Unknown|1
961224878883|4721205|TransUnion|Fraud Statement|4495761416|2018-01-02|Unknown|1
796306384602|3172483|TransUnion|Fraud Statement|4495743004|2018-01-02|Unknown|0
008442938261|4447376|TransUnion|Fraud Statement|4495086068|2018-01-02|Unknown|1
467946900199|2931225|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
823515485621|4735985|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
729278166456|5086361|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
619151546499|4436195|TransUnion|Fraud Statement|4495843292|2018-01-02|Unknown|0
475666347041|4017854|TransUnion|Fraud Statement|4495970950|2018-01-02|Unknown|0
841750460539|4657207|TransUnion|Fraud Statement|4495870982|2018-01-02|Unknown|0
585843076764|4165640|TransUnion|Fraud Statement|4495840282|2018-01-02|Unknown|0
0139176029120|3472360|TransUnion|Fraud Statement|4495805184|2018-01-02|Unknown|1
017040957210|4717758|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
471400177500|4218802|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
943986005915|3564606|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
858949401286|4674863|TransUnion|Fraud  Alert||2018-01-02|Unknown|0
193006803502|3720859|TransUnion|Fraud  Alert||2018-01-03|Unknown|0
0998338222545|4869060|TransUnion|Fraud  Alert||2018-01-03|Unknown|0
743985073132|4429666|Experian|Fraud Statement|4497258136|2018-01-03||0
390450251586|4590906|Experian|Fraud Statement|4497262972|2018-01-03||0
005662670914|1344374|Experian|Fraud Statement|4497265074|2018-01-03||0
828999629453|4821387|TransUnion|Fraud Statement|4497605092|2018-01-03|Unknown|0
128495025535|4658139|TransUnion|Fraud Statement|4497688838|2018-01-03|Unknown|0
125761618824|4015537|TransUnion|Fraud Statement|4498781214|2018-01-03|Unknown|0
624341439775|4015538|TransUnion|Fraud Statement|4498783748|2018-01-03|Unknown|0
936716142909|2208056|TransUnion|Fraud Statement|4498960580|2018-01-03|Unknown|0
295847017611|4579016|TransUnion|Fraud  Alert||2018-01-03|Unknown|0
0857446270044|4062079|TransUnion|Fraud Statement|4498524198|2018-01-03|Unknown|0
341355337580|4208201|TransUnion|Fraud Statement|4498475640|2018-01-03|Unknown|0
964956458757|3760165|TransUnion|Fraud Statement|4498488142|2018-01-03|Unknown|0
387733281752|3924168|TransUnion|Fraud Statement|4498514262|2018-01-03|Unknown|0
0125157865316|4388004|TransUnion|Fraud Statement|4498508862|2018-01-03|Unknown|0
437489842585|3729870|TransUnion|Fraud Statement|4498417812|2018-01-03|Unknown|0
824451581094|3065117|TransUnion|Fraud Statement|4498070542|2018-01-03|Unknown|0
